Ref,Val,Package,PosX,PosY,Rot,Side
"J4","VRIN2","PinHeader_1x01_P1.00mm_Vertical",88.160000,84.690000,0.000000,top
"J5","AudioJack_THR","Jack_3.5mm_PJ-3250-5A",20.810000,55.690000,90.000000,top
"J6","VROUT1","PinHeader_1x01_P1.00mm_Vertical",14.260000,21.690000,-90.000000,top
"J7","ETB","PinHeader_1x06_P2.54mm_Vertical",10.685000,16.690000,90.000000,top
"J8","PPS","PinHeader_1x04_P2.54mm_Vertical",82.110000,13.240000,180.000000,top
"J9","XH-8A","PinHeader_1x04_P2.54mm_Vertical",9.460000,11.690000,-90.000000,top
"J10","Conn_01x05","PinHeader_1x05_P2.00mm_Vertical",22.160000,2.690000,180.000000,top
"J11","USB_B_Mini","PinHeader_1x05_P2.00mm_Vertical",85.660000,9.440000,-90.000000,top
"JP1","Jumper_2_Open","PAD-0805-PAD",20.910000,98.690000,-90.000000,top
"JP2","Jumper_2_Open","PAD-0805-PAD",45.160000,98.690000,-90.000000,top
"JP3","Jumper_2_Open","PAD-0805-PAD",30.160000,98.690000,-90.000000,top
"JP4","Jumper_2_Open","PAD-0805-PAD",23.660000,98.690000,-90.000000,top
"JP5","Jumper_2_Open","PAD-0805-PAD",41.160000,98.690000,-90.000000,top
"JP6","Jumper_2_Open","PAD-0805-PAD",38.410000,98.690000,-90.000000,top
"JP7","Jumper_2_Open","PAD-1206-PAD",27.410000,98.690000,-90.000000,top
"JP8","Jumper_2_Open","PAD-0805-PAD",23.960000,89.695000,-90.000000,top
"JP9","Jumper_2_Open","PAD-0805-PAD",35.660000,98.690000,-90.000000,top
"JP10","Jumper_2_Open","PAD-0805-PAD",45.433779,91.767200,0.000000,top
"JP11","Jumper_2_Open","PAD-0805-PAD",32.910000,98.690000,-90.000000,top
"JP12","Jumper_2_Open","PAD-0805-PAD",54.660000,98.690000,-90.000000,top
"JP13","Jumper_2_Open","PAD-0805-PAD",61.160000,98.892500,-90.000000,top
"JP14","Jumper_2_Open","PAD-0805-PAD",57.310000,98.690000,-90.000000,top
"JP15","Jumper_2_Open","PAD-0805-PAD",51.910000,98.690000,-90.000000,top
"JP16","Jumper_2_Open","PAD-0805-PAD",47.910000,98.690000,-90.000000,top
"JP17","Jumper_2_Open","PAD-0805-PAD",87.910000,98.690000,-90.000000,top
"JP18","Jumper_2_Open","PAD-0805-PAD",82.410000,98.690000,-90.000000,top
"JP19","Jumper_2_Open","PAD-0805-PAD",94.910000,91.190000,-90.000000,top
"JP20","Jumper_2_Open","PAD-0805-PAD",92.160000,91.190000,-90.000000,top
"JP21","Jumper_2_Open","PAD-0805-PAD",94.910000,98.690000,-90.000000,top
"JP22","Jumper_2_Open","PAD-0805-PAD",85.160000,98.690000,-90.000000,top
"JP23","Jumper_2_Open","PAD-0805-PAD",77.910000,91.190000,-90.000000,top
"JP24","Jumper_2_Open","PAD-0805-PAD",80.710000,91.190000,-90.000000,top
"JP25","Jumper_2_Open","PAD-0805-PAD",79.660000,98.690000,-90.000000,top
"JP26","Jumper_2_Open","PAD-0805-PAD",89.410000,91.190000,-90.000000,top
"JP27","Jumper_2_Open","PAD-0805-PAD",83.910000,91.190000,-90.000000,top
"JP28","Jumper_2_Open","PAD-0805-PAD",97.910000,98.690000,-90.000000,top
"JP29","Jumper_2_Open","PAD-0805-PAD",100.910000,98.690000,-90.000000,top
"JP30","Jumper_2_Open","PAD-0805-PAD",98.160000,91.190000,-90.000000,top
"JP31","Jumper_2_Open","PAD-0805-PAD",129.910000,98.690000,-90.000000,top
"JP32","Jumper_2_Open","PAD-1206-PAD",132.660000,99.240000,-90.000000,top
"JP33","Jumper_2_Open","PAD-0805-PAD",132.360000,91.190000,-90.000000,top
"JP34","Jumper_2_Open","PAD-0805-PAD",129.610000,91.190000,-90.000000,top
"JP35","Jumper_2_Open","PAD-0805-PAD",135.910000,98.690000,-90.000000,top
"KNOCK_RAW1","IN_KNOCK1_RAW","PinHeader_1x01_P1.00mm_Vertical",71.910000,96.690000,0.000000,top
